date_scraping,channel_name,channel_subscribers_number,title_video,hashtags_video,visualizations_video,date_upload_video,day_of_week_upload_video,converted_date_upload_video,likes_video,count_comments,username,comment_text,comment_text_and_emojis_used,date_comment,likes_comment,converted_date_comment,day_of_week_comment
39,2023-02-11 05:00:34,PelucheEn ElEstuche,9.26M subscribers,CLAUDIA SHEINBAUM #alVolante Edición “los presidenciables” capítulo 1 sin censura!,,1.4M views,9 days ago,Thursday,2023-02-02 19:11:24,57K,"8,504",Juan Francisco Real Rojano,"Dile a Alex Lora que la próxima vez lleve la guitarra, por favor","['Dile a Alex Lora que la próxima vez lleve la guitarra, por favor', []]",4 days ago,21,2023-02-07 19:11:24,Tuesday
40,2023-02-11 05:00:34,PelucheEn ElEstuche,9.26M subscribers,CLAUDIA SHEINBAUM #alVolante Edición “los presidenciables” capítulo 1 sin censura!,,1.4M views,9 days ago,Thursday,2023-02-02 19:11:24,57K,"8,504",Joseph Navarro,"Nueva fase… Escorpión molécula
Preguntas a modo
Ya solo te falta el moño","['Nueva fase… Escorpión molécula\nPreguntas a modo\nYa solo te falta el moño', []]",4 days ago,10,2023-02-07 19:11:24,Tuesday
41,2023-02-11 05:00:34,PelucheEn ElEstuche,9.26M subscribers,CLAUDIA SHEINBAUM #alVolante Edición “los presidenciables” capítulo 1 sin censura!,,1.4M views,9 days ago,Thursday,2023-02-02 19:11:24,57K,"8,504",Emilio Maldonado Garza,Pd: El escorpión dorado usando el teléfono mientras maneja con la jefa de gobierno de la capital es una de las cosas mas surreales que he visto y que huevos jajajaja,"['Pd: El escorpión dorado usando el teléfono mientras maneja con la jefa de gobierno de la capital es una de las cosas mas surreales que he visto y que huevos jajajaja', []]",9 days ago,1100,2023-02-02 19:11:24,Thursday
42,2023-02-11 05:00:34,PelucheEn ElEstuche,9.26M subscribers,CLAUDIA SHEINBAUM #alVolante Edición “los presidenciables” capítulo 1 sin censura!,,1.4M views,9 days ago,Thursday,2023-02-02 19:11:24,57K,"8,504",Leslye Olivares,Estuvo re' epica está entrevista  me rei muchísimo  jajajaa,"[""Estuvo re' epica está entrevista  me rei muchísimo  jajajaa"", ['😂', '😂']]",6 days ago,1,2023-02-05 19:11:24,Sunday
43,2023-02-11 05:00:34,PelucheEn ElEstuche,9.26M subscribers,CLAUDIA SHEINBAUM #alVolante Edición “los presidenciables” capítulo 1 sin censura!,,1.4M views,9 days ago,Thursday,2023-02-02 19:11:24,57K,"8,504",El Chipotle enmascarado,Buen desmadre con la Jefa de Gobierno. Te rifaste Escorpion!!!,"['Buen desmadre con la Jefa de Gobierno. Te rifaste Escorpion!!!', []]",11 hours ago,0,2023-02-11 08:11:24,Saturday
44,2023-02-11 05:00:34,PelucheEn ElEstuche,9.26M subscribers,CLAUDIA SHEINBAUM #alVolante Edición “los presidenciables” capítulo 1 sin censura!,,1.4M views,9 days ago,Thursday,2023-02-02 19:11:24,57K,"8,504",Jonathan Platas001,16:10 Esto quedaría como un excelente meme jajajajaja,"['16:10 Esto quedaría como un excelente meme jajajajaja', []]",6 days ago,11,2023-02-05 19:11:24,Sunday
45,2023-02-11 05:00:34,PelucheEn ElEstuche,9.26M subscribers,CLAUDIA SHEINBAUM #alVolante Edición “los presidenciables” capítulo 1 sin censura!,,1.4M views,9 days ago,Thursday,2023-02-02 19:11:24,57K,"8,504",Mundo Lupus Kings,"Mamá préndele a la grabadora, que Escorpión Molécula está entrevistando a la Claudia Sheinbaum!!!!","['Mamá préndele a la grabadora, que Escorpión Molécula está entrevistando a la Claudia Sheinbaum!!!!', []]",2 days ago,3,2023-02-09 19:11:24,Thursday
46,2023-02-11 05:00:34,PelucheEn ElEstuche,9.26M subscribers,CLAUDIA SHEINBAUM #alVolante Edición “los presidenciables” capítulo 1 sin censura!,,1.4M views,9 days ago,Thursday,2023-02-02 19:11:24,57K,"8,504",Roberto González,Ya espero el de Monreal ojalá le pregunte cuantos hermanos va a meter a la nómina  y salga el tema de su bodega de hierba  y el desmadre que ha hecho su hermano gobernando,"['Ya espero el de Monreal ojalá le pregunte cuantos hermanos va a meter a la nómina  y salga el tema de su bodega de hierba  y el desmadre que ha hecho su hermano gobernando', ['🌿']]",7 days ago,64,2023-02-04 19:11:24,Saturday
47,2023-02-11 05:00:34,PelucheEn ElEstuche,9.26M subscribers,CLAUDIA SHEINBAUM #alVolante Edición “los presidenciables” capítulo 1 sin censura!,,1.4M views,9 days ago,Thursday,2023-02-02 19:11:24,57K,"8,504",Karla Espinosa,Deberías de subir a todos los futuros cándidatos,"['Deberías de subir a todos los futuros cándidatos', []]",3 days ago,2,2023-02-08 19:11:24,Wednesday
48,2023-02-11 05:00:34,PelucheEn ElEstuche,9.26M subscribers,CLAUDIA SHEINBAUM #alVolante Edición “los presidenciables” capítulo 1 sin censura!,,1.4M views,9 days ago,Thursday,2023-02-02 19:11:24,57K,"8,504",Carlos VaLe,Faltaron preguntas incómodas.!!!! Aver como reaccionaba Claudia.!!!,"['Faltaron preguntas incómodas.!!!! Aver como reaccionaba Claudia.!!!', []]",4 days ago (edited),25,2023-02-07 19:11:24,Tuesday
